productId,productCode,productName,netPrice,availabilityUrl,availability,grossPrice,composition,needleStrength
pid-50322,bwdmc011388,DMC 388 Eco Vita,6.2,https://www.wollplatz.de/artikel/50322/dmc-388-eco-vita.html,Noch 6 verfügbar,7.38,,
pid-45560,bwdmckleurenkaartmouline,DMC Farbkarte Mouliné,34.92,https://www.wollplatz.de/wolle/dmc/dmc-farbkarte-mouline,Lieferbar innerhalb 1 Werktagen,41.55,,
pid-38559,bwdmc0111008F,DMC 1008F Mouliné Satin Stickgarn 8m,1.03,https://www.wollplatz.de/wolle/dmc/dmc-1008f-mouline-satin-stickgarn-8m,Lieferbar,1.23,100% Viskose,Thread
pid-37568,bwdmc011117MC,DMC 117MC Mouliné Special Stickgarn 8m,1.61,https://www.wollplatz.de/wolle/dmc/dmc-117mc-mouline-special-stickgarn-8m,Lieferbar,1.92,100% Mercerisiert Baumwolle,Thread
pid-38526,bwdmc011317W,DMC 317W Mouliné Metallise Stickgarn 8m,3.02,https://www.wollplatz.de/wolle/dmc/dmc-317w-mouline-metallise-stickgarn-8m,Lieferbar,3.59,100% Polyester,Thread
pid-38513,bwdmc011417F,DMC 417F Mouliné Variation Stickgarn 8m,1.9,https://www.wollplatz.de/wolle/dmc/dmc-417f-mouline-variation-stickgarn-8m,Lieferbar innerhalb 1 Werktagen,2.26,100% Mercerisiert Baumwolle,Thread
pid-38577,bwdmc011517,DMC 517 Mouliné Coloris Stickgarn 8m,1.65,https://www.wollplatz.de/wolle/dmc/dmc-517-mouline-coloris-stickgarn-8m,Lieferbar,1.96,100% Baumwolle,Thread
pid-38659,bwdmc0118121,DMC Brio,5.0,https://www.wollplatz.de/wolle/dmc/dmc-brio,Lieferbar,5.95,"80% Acryl, 20% Wolle",Light
pid-38678,bwdmc0118131,DMC Pirouette,10.74,https://www.wollplatz.de/wolle/dmc/dmc-pirouette,Lieferbar,12.78,100% Acryl,Medium
